--, IBI
1677.576790,0.843789
1678.373702,0.796911
1679.248742,0.875040
1680.061279,0.812537
1680.873816,0.812537
1681.701979,0.828163
1682.530142,0.828163
1683.405182,0.875040
1684.186468,0.781286
1684.999005,0.812537
1685.905296,0.906291
1686.655331,0.750034
1687.530371,0.875040
1688.311656,0.781286
1689.155445,0.843789
1689.967982,0.812537
1690.811771,0.843789
1691.624308,0.812537
1706.921883,0.843789
1725.938379,0.781286
1726.719665,0.781286
1727.532202,0.812537
1733.063705,0.781286
1733.829365,0.765660
1734.626276,0.796911
1735.376311,0.750034
1736.235725,0.859414
1736.970134,0.734409
1737.845174,0.875040
1766.112093,0.750034
1766.893378,0.781286
1767.690290,0.796911
1768.487201,0.796911
1769.299739,0.812537
1769.987270,0.687531
1770.799807,0.812537
1771.612345,0.812537
1772.362379,0.750034
1773.143665,0.781286
1773.924950,0.781286
1774.690610,0.765660
1775.471896,0.781286
1776.221931,0.750034
1777.018842,0.796911
1777.800128,0.781286
1778.565788,0.765660
1790.363203,0.765660
1791.128863,0.765660
1791.957026,0.828163
1792.722686,0.765660
1793.535223,0.812537
1794.363386,0.828163
1795.097795,0.734409
1795.925957,0.828163
1796.691617,0.765660
1797.519780,0.828163
1798.379195,0.859414
1811.598550,0.718783
1812.317333,0.718783
1820.161442,0.828163
1820.989605,0.828163
1821.786516,0.796911
1822.458422,0.671906
1823.364713,0.906291
1824.145999,0.781286
1824.896034,0.750034
1825.677319,0.781286
1826.458605,0.781286
1827.224265,0.765660
1828.005551,0.781286
1828.786837,0.781286
1829.583748,0.796911
1830.365034,0.781286
1831.115068,0.750034
1831.943231,0.828163
1832.677640,0.734409
1833.490177,0.812537
1834.271463,0.781286
1835.099626,0.828163
1835.880911,0.781286
1863.538427,0.828163
1864.538473,1.000046
1897.508732,0.781286
1898.321270,0.812537
1899.133807,0.812537
1899.946344,0.812537
1904.009030,0.843789
1904.712187,0.703157
1905.524724,0.812537
1906.274759,0.750034
1907.165424,0.890666
1907.868582,0.703157
1908.681119,0.812537
1914.837651,0.750034
1915.556433,0.718783
1916.337719,0.781286
1917.212759,0.875040
1942.042021,0.781286
1942.807681,0.765660
1943.588967,0.781286
1944.370252,0.781286
1945.214041,0.843789
1952.980021,0.765660
1996.216376,0.828163
2004.998028,0.781286
2005.763688,0.765660
2036.390089,0.781286
2057.312922,0.765660
2058.062956,0.750034
2058.844242,0.781286
2062.703794,0.750034
2063.485080,0.781286
2064.250740,0.765660
2065.016400,0.765660
2065.782060,0.765660
2066.547720,0.765660
2067.329005,0.781286
2068.063414,0.734409
2068.844700,0.781286
2076.563803,0.750034
2077.376340,0.812537
2078.157626,0.781286
2078.938912,0.781286
2079.735823,0.796911
2080.517109,0.781286
2081.267143,0.750034
2082.048429,0.781286
2082.845341,0.796911
2083.611001,0.765660
2084.376661,0.765660
2085.157947,0.781286
2085.923607,0.765660
2086.704892,0.781286
2087.470552,0.765660
2088.251838,0.781286
2089.017498,0.765660
2089.798784,0.781286
2090.580070,0.781286
2091.330104,0.750034
